REGISTRATIONNO,PARTYNO,PARTYNAME,PARTYFORMPUBLICREGISTRY,PARTYSUBFORMPUBLICREGISTRY,PARTYFORMLOCALREGISTRY,PARTYCONSENTTYPELOCALREGISTRY,SEGMENT,INDUSTRY
5090083,144094,OSNOVNA ŠOLA MIRNA,355,,305,0,PO,85.200
7203276,279087,"STREŽBA PIJAČ, SIMONA PETERNELJ S.P.",142,,111,0,FO,56.300
8792941,2699577,"ELEKTROINŠTALACIJE EL`MATLUB, NISVETA LJUBIJANKIĆ S.P.",142,,111,0,PO,43.210
5992374,171952,PRELOG FRANC S.P. - AVTOPREVOZNIŠTVO,142,,111,0,PO,49.410
2411504,393565,BRIGITA VIDMAR - NOSILKA DOPOLNILNE DEJAVNOSTI NA KMETIJI,163,,111,0,PO,56.105
3244679,981202,"OBDELAVA PROJEKTNE IN TEHNIČNE DOKUMENTACIJE, DAVID MERNIK S.P.",142,,111,0,PO,71.129
1294164,517922,"MONTAŽA ADONIS, ZAKLJUČNA GRADBENA DELA, D.O.O.",103,,122,0,FO,43.390
3575225,997903,"POUČEVANJE TUJIH JEZIKOV, KATJA LUKANČIČ CLUZEAU S.P.",142,,111,0,PO,85.590
1073443,125618,"GRADBENA MEHANIZACIJA """"KERIN"""" VLADIMIR KERIN S.P.",142,,111,0,PO,43.990
2348004,377929,"SERENTIS, PROIZVODNJA ČISTIH PROSTOROV D.O.O.",103,,122,0,PO,25.110
6580718,2605860,ZAKLJUČNA GRADBENA DELA IVAN KOREN S.P.,142,,111,0,PO,43.342
5090083,144094,OSNOVNA ŠOLA MIRNA,355,,305,0,JS,85.200
2536315,927052,JOŽE KOROŠEC - NOSILEC DOPOLNILNE DEJAVNOSTI NA KMETIJI,163,,115,0,PO,01.610
9026860,2735844,"KURIRSKA DEJAVNOST, ARMIN GREDIĆ S.P.",142,,111,0,PO,53.200
3169642,973645,LOGISTIKA RENATO URSINI S.P.,142,,111,0,FO,49.410
5537177,127975,"SPOJ-TRADE, PROIZVODNJA, TRGOVINA IN STORITVE, D.O.O., PRESTRANEK",103,,122,0,FO,16.210
3511081,272743,"PROMOTOR, FILMSKA IN KULTURNA PRODUKCIJA IN PROMOCIJA, RENATA ZAMIDA S.P.",142,,111,0,FO,59.110
5552281,103545,"GRADVIN PODJETJE ZA GRADBENIŠTVO, GOSTINSTVO, TRGOVINO, UVOZ IN IZVOZ, D.O.O., LJUBLJANA",103,,122,0,PO,41.200
3430898,272502,"ROK OZMEC S.P., ŠPORTNE DEJAVNOSTI",142,,111,0,PO,85.510
8741115,2692008,"VIDEOPRODUKCIJA, NINA GRŠIČ S.P.",142,,111,0,PO,59.110
6828639,283056,"ALINEA TISK, TISKARSTVO IN STORITVE, D.O.O.",103,,122,0,FO,18.130
7116438,2689088,"PANEKSPRES, CESTNI TOVORNI PROMET, D.O.O.",103,,122,0,PO,49.410
8620113,929815,ODDAJA LASTNIH NEPREMIČNIN TANJA VILAR S.P.,142,,111,0,FO,68.200
5695180,126034,ADCOM STORITVE IN RAZVOJ D.O.O.,103,,122,0,PO,74.900
9182373,982510,"ODDAJANJE NEPREMIČNIN V NAJEM, JANEZ VIDMAR S.P.",142,,111,0,PO,68.200
6976379,263246,LAMITEX KAŠIRANJE TEKSTILIJ D.O.O.,103,,122,0,PO,13.300
9146164,2754703,"PETIKO, ŠPORTNE STORITVE IN TRGOVINA, NADIIA TIMOFIEIEVA S.P.",142,,111,0,PO,85.510
7263007,281145,"SEJO, ZAKLJUČNA GRADBENA DELA, SEJAT KAJRIMANOSKI S.P.",142,,111,0,FO,43.390
6724728,285331,EUROPORT PRETOVOR IN TRANSPORTI D.O.O.,103,,122,0,FO,52.240
1075276,505932,GEODETSKE STORITVE DEAN KOBALE DIPL. ING. GEOD. S.P.,142,,111,0,FO,71.121
6482201,2675127,"GRR GRAFIKA, ROK RADE S.P.",142,,111,0,PO,74.100
1597388,915874,TRGOVINSKE STORITVE PETERLIN JOŽE S.P.,142,,111,0,PO,46.190
1224999,910508,GLOTA SAŠA AMBROŽIČ DELEJA S.P.,142,,111,0,PO,74.300
1387600,864813,"M & S POPOVIĆ IN DRUGI TRGOVINA IN STORITVE, D.N.O.",101,,124,0,PO,46.190
1449877,956837,"KOMUNIKE - NINA DERNOVŠEK S.P. IZOBRAŽEVANJE, SVETOVANJE, ZASTOPANJE",142,,111,0,PO,70.220
1367773,948262,MIZARSTVO IN GRADBENE STORITVE ŠTEFAN ŽELEZNIK S.P.,142,,111,0,PO,43.330
5431179,899792,CVETLIČARNA HERMINA KRIVEC S.P.,142,,111,0,PO,47.761
1314173,509425,"KLIMATIK HLADILNE IN KLIMA NAPRAVE, D.O.O.",103,,122,0,PO,43.220
6294987,387702,"MEDIJSKA PRODUKCIJA IN SVETOVANJE, JURE BRANKOVIČ, S.P.",142,,111,0,PO,59.110
3146529,971459,ZAKLJUČNA GRADBENA DELA ZORAN KRIŽMAN S.P.,142,,111,0,PO,43.390
6966519,262978,"VZDRŽEVANJE IN SERVIS MOTORNIH VOZIL, JURE ŠPINDLER JŠ MOTO, S.P.",142,,111,0,FO,45.200
6390374,396153,"DAMI & CO, GOSTINSTVO IN TURIZEM, D.O.O.",103,,122,0,PO,56.101
1851870,937217,OSSA DESIGN ZAKLJUČNA GRADBENA DELA D.O.O.,103,,122,0,PO,43.390
5516137,124960,IUP INŠTITUT ZA UREJANJE PROSTORA D.O.O.,103,,122,0,FO,71.112
1140825,147699,ZDRUŽENJE VETERANOV VOJNE ZA SLOVENIJO OBMOČJA MEŽIŠKE DOLINE,453,,218,0,PO,94.999
7025173,102267,"GEHA-PRINT, TRGOVINA IN POSREDNIŠTVO, RENATA ŽUNKO S.P.",142,,111,0,FO,46.900
5970571,192399,"BKS, MARKETING, TRGOVINA IN POSLOVNE STORITVE, D.O.O. - V STEČAJU",103,,122,0,PO,70.220
7258755,373461,DIAPOL PROIZVODNJA POLIRNIH IN BRUSILNIH SREDSTEV MATJAŽ HREN S.P.,142,,111,0,PO,20.410
3246507,907659,"ZOBNA ASISTENTKA ANICA STUBELJ, S.P.",142,,111,0,PO,86.909
4037685,380427,ZDRUŽENJE ZA SENZORNO INTEGRACIJO SLOVENIJE,453,,218,0,PO,94.120
3710491,365556,PRO2 PROAKTIVNA REGULACIJA OPTIČNEGA OMREŽJA D.O.O. - V STEČAJU,103,,122,0,FO,61.900
3355187,988176,"FRIZERSKI SALON, MARJANA ČASAR, S.P.",142,,111,0,PO,96.021
5972400,151178,SINDIKAT ZDRAVSTVA IN SOCIALNEGA VARSTVA ZASAVSKE LEKARNE TRBOVLJE,452,,217,0,PO,94.200
2193396,386478,"PURGATOR INŽENIRING, DRUŽBA ZA IZVEDBENI INŽENIRING, D.O.O., POSTOJNA",103,,122,0,FO,42.990
5114075,111255,ŠUŠMELJ EDMOND S.P. VZDRŽEVANJE STROJEV IN NAPRAV,142,,111,0,FO,33.120
7095686,267576,"POSLOVNO SVETOVANJE, PETER BRAČUN S.P.",142,,111,0,PO,70.220
5814375,131862,"AVTO MOTO STORITVE IN IZOBRAŽEVANJE, NOVO MESTO D.O.O. - V STEČAJU",103,,122,0,PO,85.530
6609503,284694,"POSLOVNI PARK STORITVE, POSLOVNO SVETOVANJE, D.O.O.",103,,122,0,FO,70.220
1833529,936734,"BARTUS, DRUGO IZOBRAŽEVANJE IN POSREDOVANJE, D.O.O.",103,,122,0,PO,85.590
3262901,983008,"PREVOD.SI, PREVAJANJE IN DRUGE POSLOVNE STORITVE, SNJEŽANA ŠTINE, S.P.",142,,111,0,PO,74.300
6189989,384229,GA KOMPANI PLESKARSTVO IN OSTALE STORITVE D.O.O.,103,,122,0,PO,43.342
6308651,901597,"INDENAR, ZAVAROVALNO ZASTOPANJE, VESNA KOŠMRL KAVKA S.P.",142,,111,0,PO,66.220
2075407,952928,"SINDIKAT DELAVCEV DEJAVNOSTI ENERGETIKE SLOVENIJE, SINDIKAT DRUŽBE NAFTA STROJNA D.O.O.",452,,217,0,PO,94.200
6831524,2670851,"DIAMANT NEPREMIČNINE, POSLOVANJE Z NEPREMIČNINAMI, D.O.O.",103,,122,0,PO,68.310
5114250,160298,"ORODJE - OPREMA PODJETJE ZA PROIZVODNJO IN TRGOVINO, D.O.O.",103,,122,0,FO,25.732
1353705,523937,"RADYOYO ZAVOD ZA RAZVOJ IN PROMOCIJO GLASBENIH IN VIZUALNIH UMETNOSTI, LJUBLJANA - V LIKVIDACIJI",354,,304,0,FO,90.030
6267319,386530,"VARGALANT ORIGINAL, PROIZVODNJA, SERVIS IN TRGOVINA Z AVTODELI D.O.O., VRHNIKA",103,,122,0,FO,29.320
3814009,369772,"TOPILLO, FASADERSTVO IN DRUGA GRADBENA DELA, D.O.O.",103,,122,0,PO,43.390
3545792,996520,"NITKA, ŠIVANJE ZAVES IN OSTALE DEKORATIVE, NATAŠA MIKOLA S.P.",142,,111,0,PO,13.920
6341349,389432,"DROBIŽKI FOTOGRAFIJA, MARTINA MEGLIČ S.P.",142,,111,0,FO,74.200
5685133,194290,"ENERGOCONSULTING PODJETJE ZA INŽENIRING, STORITVE, TRGOVINO IN PROIZVODNJO D.O.O.",103,,122,0,PO,71.129
4088093,266394,KATOLIŠKO KULTURNO DRUŠTVO SV. URŠULE,453,,218,0,FO,94.999
1662139,906671,"AVTOCENTER MEDVODE, TRGOVINA IN STORITVE, D.O.O.",103,,122,0,FO,77.110
7040385,196237,"PLOVBA PO CELINSKIH VODAH, MATEJ TRTNIK S.P.",142,,111,0,FO,50.300
6659373,399921,"AMINS, GRADBENIŠTVO IN TRGOVINA, D.O.O.",103,,122,0,PO,41.200
5218942,894936,KULTURNO PROSVETNO DRUŠTVO TONČKE ČEČ KLEK TRBOVLJE,453,,218,0,FO,94.999
5785464,164236,WALT TRGOVINA NA DEBELO IN DROBNO LJUBLJANA D.O.O. - V STEČAJU,103,,122,0,FO,46.190
5119375,187498,VATERPOLSKA ZVEZA SLOVENIJE,453,,218,0,PO,93.190
1037536,888646,"MATJAŽ PAVČNIK, S.P., AVTOVLEKA IN POMOČ NA CESTI",142,,111,0,FO,52.210
3652122,287298,"PEGMA, KNJIGOVEŠKE STORITVE, ROBERT KOKALJ S.P.",142,,111,0,FO,18.140
1165445,939498,DRUŠTVO ZA OHRANJANJE SPOMINA NA POHOD XIV. DIVIZIJE LAŠKO,453,,218,0,PO,94.999
1020153,104809,SVETOVANJE IN ZASTOPANJE NA PODROČJU INDUSTRIJSKE LASTNINE DUŠAN DJUKIĆ S.P.,142,,111,0,FO,69.103
5727111,124141,"ALTEL PODJETJE ZA PROIZVODNJO, RAZVOJ IN INŽENIRING, TELEINFORMACIJSKIH TEHNOLOGIJ, D.O.O.",103,,122,0,FO,26.120
3280411,989156,"REFRESH, DRUŽBA ZA SPLETNO KOMUNICIRANJE, D. O. O.",103,,122,0,PO,73.110
5902761,901231,KERAMIČARSTVO MARIJAN POGLAJEN S.P.,142,,111,0,FO,43.330
9215999,2769307,"TAJPOS, PISARNIŠKE STORITVE, TANJA PAVČIČ S.P.",142,,111,0,PO,82.110
3863999,273931,"INSTALACIJE PODČEDENŠEK - MARTIN PODČEDENŠEK S.P., VODOVODNE INSTALACIJE IN OGREVANJE",142,,111,0,FO,43.220
1694359,909603,"OBLAGANJE TAL IN STEN, GAJŠEK MILAN S.P.",142,,111,0,PO,43.330
3872637,372421,"ALI MEMEDI, DRUŽBA ZA RAZNE STORITVE, D.O.O.",103,,122,0,FO,47.210
5749085,139039,"MODIC SI TRGOVINA, PROIZVODNJA, INŽENIRING D.O.O.",103,,122,0,PO,46.190
1492527,897194,"GENEZA, ZAVOD ZA BIOTEHNOLOGIJO ŽIVLJENJA IN EKOLOGIJO VRANSKO",354,,304,0,FO,72.110
5854105,194955,SREDNJA ŠOLA JESENICE,355,,305,0,PO,85.320
5966011,915801,"VZDRŽEVANJE IN STORITVE, RAJKO NOVAK S.P.",142,,111,0,PO,81.210
8090700,285644,"TLG, TRANSPORT D.O.O. - V STEČAJU",103,,122,0,PO,49.410
5696455,191586,MIZARSTVO GNIDOVEC TOMAŽ S.P.,142,,111,0,FO,31.010
3815650,272222,"ORGANIZACIJA DOGODKOV, NATAŠA REGOVEC S.P.",142,,111,0,FO,82.300
6139264,382573,"GRUŠČ, DRUŽBA ZA UPRAVLJANJE PODJETIJ, D.O.O.",103,,122,0,FO,64.200
6592783,263952,"GO TEAM, GOSTINSTVO IN DRUGE STORITVE, GORDAN JEREBIC, S.P.",142,,111,0,FO,90.010
1538195,903852,AMHS INŽENIRING D.O.O. - V STEČAJU,103,,122,0,FO,71.129
5034477,191113,"PLINARNA MARIBOR DRUŽBA ZA PROIZVODNJO, DISTRIBUCIJO ENERGENTOV, TRGOVINO IN STORITVE D.O.O.",,,,,35.220
